_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.09,0.10,0.02,0.11,0.04,0.20
OLS,RESIDUAL,1,0.02,-0.02,0.00,-0.03,-0.09,0.08
OLS,RESIDUAL,1,0.04,0.55,-0.19,0.05,0.17,0.62
OLS,RESIDUAL,1,-0.02,-0.18,0.05,-0.07,0.00,-0.34
OLS,RESIDUAL,1,-0.06,-0.25,0.08,-0.03,-0.10,-0.23
OLS,RESIDUAL,1,-0.01,0.08,0.09,0.05,0.08,0.10
OLS,RESIDUAL,1,0.01,-0.03,-0.12,-0.03,-0.01,0.08
OLS,RESIDUAL,1,0.04,0.21,-0.04,0.08,0.00,0.09
OLS,RESIDUAL,1,-0.09,0.01,-0.03,-0.13,-0.07,-0.19
OLS,RESIDUAL,1,-0.03,-0.83,0.08,-0.02,-0.19,-0.49
OLS,RESIDUAL,1,0.10,0.17,0.10,0.15,0.07,0.18
OLS,RESIDUAL,1,-0.08,-0.20,0.07,-0.08,-0.12,-0.31
OLS,RESIDUAL,1,0.02,0.03,0.04,0.01,0.06,0.07
OLS,RESIDUAL,1,0.05,0.35,-0.14,0.05,0.06,0.24
OLS,RESIDUAL,1,-0.07,0.05,-0.01,0.00,0.09,0.07
OLS,RESIDUAL,1,-0.02,-0.35,-0.02,0.02,-0.03,-0.17
OLS,RESIDUAL,1,0.05,-0.02,0.09,0.03,-0.13,-0.12
OLS,RESIDUAL,1,-0.02,-0.15,0.05,-0.06,-0.06,-0.05
OLS,RESIDUAL,1,-0.04,-0.13,-0.10,-0.01,-0.03,-0.08
OLS,RESIDUAL,1,0.06,0.17,-0.02,0.11,0.11,0.14
OLS,RESIDUAL,1,0.05,0.10,0.05,-0.02,-0.10,-0.27
OLS,RESIDUAL,1,-0.05,-0.56,0.09,-0.06,-0.07,-0.08
OLS,RESIDUAL,1,-0.02,-0.19,0.14,-0.03,-0.02,-0.20
OLS,RESIDUAL,1,-0.06,-0.08,-0.08,0.02,-0.01,0.02
