_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,0.02,-0.35,-0.00,-0.08,-0.03,-0.20
OLS,RESIDUAL,1,-0.09,-0.08,0.07,-0.02,-0.05,-0.04
OLS,RESIDUAL,1,0.01,-0.16,0.10,-0.12,-0.11,-0.23
OLS,RESIDUAL,1,-0.00,-0.14,0.06,0.06,0.05,0.02
OLS,RESIDUAL,1,0.02,0.15,-0.08,0.05,0.06,0.08
OLS,RESIDUAL,1,0.08,0.32,-0.19,0.09,0.01,0.10
OLS,RESIDUAL,1,0.10,-0.28,0.03,-0.03,0.01,-0.03
OLS,RESIDUAL,1,0.02,0.17,0.07,-0.01,-0.07,0.01
OLS,RESIDUAL,1,0.09,-0.05,-0.07,-0.01,0.09,0.08
OLS,RESIDUAL,1,0.13,0.49,-0.24,0.18,0.13,0.57
OLS,RESIDUAL,1,0.22,0.58,-0.28,0.11,0.20,0.72
OLS,RESIDUAL,1,-0.30,-0.41,0.54,-0.40,-0.30,-0.45
OLS,RESIDUAL,1,-0.30,-0.72,-0.20,-0.08,-0.11,-0.96
OLS,RESIDUAL,1,0.25,0.15,0.12,0.23,0.10,0.38
OLS,RESIDUAL,1,0.07,0.09,-0.01,0.00,-0.01,0.07
OLS,RESIDUAL,1,0.04,0.03,-0.03,0.02,0.09,0.05
OLS,RESIDUAL,1,0.02,0.01,-0.03,0.02,0.03,0.07
OLS,RESIDUAL,1,0.06,0.20,-0.17,0.06,0.06,0.10
OLS,RESIDUAL,1,0.06,-0.06,0.01,0.00,-0.08,-0.03
OLS,RESIDUAL,1,-0.11,-0.23,0.14,-0.14,-0.10,-0.07
OLS,RESIDUAL,1,-0.04,-0.18,0.11,-0.03,0.00,-0.44
OLS,RESIDUAL,1,0.04,-0.05,0.01,0.07,0.01,-0.05
OLS,RESIDUAL,1,0.12,0.45,-0.15,0.11,0.11,0.42
OLS,RESIDUAL,1,0.03,0.03,0.05,-0.04,-0.01,0.09
OLS,RESIDUAL,1,-0.20,-0.42,0.11,-0.18,-0.13,-0.46
OLS,RESIDUAL,1,0.02,-0.12,0.00,0.09,0.09,-0.08
OLS,RESIDUAL,1,-0.27,-0.37,0.28,-0.14,-0.28,-0.47
OLS,RESIDUAL,1,0.10,-0.03,-0.06,0.15,0.10,0.08
OLS,RESIDUAL,1,0.06,0.15,-0.08,0.10,0.03,0.26
OLS,RESIDUAL,1,0.00,0.36,-0.08,-0.01,0.13,0.23
OLS,RESIDUAL,1,-0.11,-0.43,0.15,-0.16,-0.20,-0.45
OLS,RESIDUAL,1,0.06,-0.33,0.01,0.09,0.05,0.01
OLS,RESIDUAL,1,-0.03,-0.09,0.00,0.00,-0.08,-0.35
OLS,RESIDUAL,1,0.10,0.09,0.04,0.12,0.06,0.16
OLS,RESIDUAL,1,0.02,0.02,-0.02,-0.02,-0.07,0.16
OLS,RESIDUAL,1,0.04,0.53,-0.19,0.06,0.19,0.60
OLS,RESIDUAL,1,-0.02,-0.14,0.05,-0.09,0.00,-0.29
OLS,RESIDUAL,1,-0.06,-0.34,0.10,-0.06,-0.14,-0.36
OLS,RESIDUAL,1,-0.02,0.09,0.10,0.04,0.10,0.12
OLS,RESIDUAL,1,0.02,0.02,-0.14,0.03,-0.00,0.12
OLS,RESIDUAL,1,0.07,0.19,-0.03,0.09,0.00,0.09
OLS,RESIDUAL,1,-0.10,0.02,-0.03,-0.14,-0.05,-0.19
OLS,RESIDUAL,1,-0.02,-0.88,0.10,-0.03,-0.18,-0.52
OLS,RESIDUAL,1,0.11,0.13,0.12,0.14,0.07,0.15
OLS,RESIDUAL,1,-0.09,-0.08,0.04,-0.05,-0.08,-0.21
OLS,RESIDUAL,1,0.04,-0.03,0.05,0.04,0.06,0.03
OLS,RESIDUAL,1,0.05,0.40,-0.15,0.05,0.07,0.29
OLS,RESIDUAL,1,-0.06,0.06,-0.01,0.04,0.10,0.09
OLS,RESIDUAL,1,-0.03,-0.38,-0.02,-0.05,-0.06,-0.20
OLS,RESIDUAL,1,0.05,-0.04,0.11,0.03,-0.14,-0.15
OLS,RESIDUAL,1,-0.01,-0.12,0.05,-0.07,-0.02,-0.03
OLS,RESIDUAL,1,-0.05,-0.13,-0.09,0.05,-0.02,-0.06
OLS,RESIDUAL,1,0.07,0.18,-0.01,0.09,0.12,0.14
OLS,RESIDUAL,1,0.04,0.14,0.04,-0.01,-0.10,-0.24
OLS,RESIDUAL,1,-0.04,-0.60,0.09,-0.08,-0.05,-0.12
OLS,RESIDUAL,1,-0.03,-0.22,0.16,-0.03,-0.03,-0.18
OLS,RESIDUAL,1,-0.05,-0.03,-0.08,0.08,0.00,0.02
OLS,RESIDUAL,1,0.06,0.15,0.01,0.03,-0.04,0.01
OLS,RESIDUAL,1,0.05,0.16,-0.09,0.05,0.06,0.20
OLS,RESIDUAL,1,-0.01,0.03,0.05,-0.03,0.00,-0.05
OLS,RESIDUAL,1,-0.09,-0.37,-0.00,-0.09,-0.12,-0.48
OLS,RESIDUAL,1,0.04,0.09,0.09,0.08,0.09,0.06
OLS,RESIDUAL,1,0.04,0.13,-0.06,0.05,0.02,0.11
OLS,RESIDUAL,1,0.02,0.05,-0.08,0.08,-0.00,-0.05
OLS,RESIDUAL,1,0.04,-0.07,-0.02,-0.00,0.07,-0.15
OLS,RESIDUAL,1,0.01,-0.21,0.04,0.02,-0.06,-0.08
OLS,RESIDUAL,1,0.03,-0.14,0.04,0.03,-0.05,-0.11
OLS,RESIDUAL,1,-0.11,-0.28,0.12,-0.13,-0.18,-0.29
OLS,RESIDUAL,1,0.02,0.02,-0.01,0.03,0.01,-0.15
OLS,RESIDUAL,1,0.06,0.05,0.04,0.06,0.02,0.04
OLS,RESIDUAL,1,-0.03,0.12,-0.02,0.02,0.06,0.17
OLS,RESIDUAL,1,0.01,-0.06,0.01,0.02,-0.05,0.08
OLS,RESIDUAL,1,-0.04,0.08,-0.01,-0.02,0.09,-0.04
OLS,RESIDUAL,1,-0.06,-0.22,-0.02,-0.00,-0.08,-0.29
OLS,RESIDUAL,1,0.05,-0.47,0.03,0.01,-0.04,-0.30
OLS,RESIDUAL,1,0.01,0.10,0.16,-0.00,-0.08,0.06
OLS,RESIDUAL,1,-0.03,-0.16,0.03,0.05,0.02,0.02
OLS,RESIDUAL,1,-0.09,-0.30,0.10,-0.08,-0.10,-0.59
OLS,RESIDUAL,1,-0.04,-0.18,0.12,0.01,-0.06,-0.02
OLS,RESIDUAL,1,-0.06,-0.14,0.03,-0.00,-0.03,-0.34
OLS,RESIDUAL,1,-0.00,-0.10,0.08,0.02,-0.02,-0.14
OLS,RESIDUAL,1,-0.03,-0.08,-0.04,0.04,-0.04,0.06
OLS,RESIDUAL,1,0.00,0.17,0.02,0.07,0.04,0.13
OLS,RESIDUAL,1,-0.01,0.12,0.04,-0.06,-0.02,-0.04
OLS,RESIDUAL,1,-0.04,-0.18,0.00,-0.03,0.02,-0.09
OLS,RESIDUAL,1,-0.05,-0.15,0.08,-0.04,-0.04,-0.13
OLS,RESIDUAL,1,-0.01,-0.19,0.05,0.04,-0.04,-0.11
OLS,RESIDUAL,1,-0.00,-0.12,-0.07,0.05,-0.01,0.04
OLS,RESIDUAL,1,-0.08,-0.16,0.32,-0.10,-0.12,-0.11
OLS,RESIDUAL,1,-0.08,-0.09,-0.01,0.02,0.04,-0.05
